CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
 Land of Toys Inc.                   , 2125557818       , Yu             , Kwai            
 Reims Collectables                  , 26.47.1555       , Henriot        , Paul            
 Lyon Souveniers                     , +33 1 46 62 7555 , Da Cunha       , Daniel          
 Toys4GrownUps.com                   , 6265557265       , Young          , Julie           
 Corporate Gift Ideas Co.            , 6505551386       , Brown          , Julie           
 Technics Stores Inc.                , 6505556809       , Hirano         , Juri            
 Daedalus Designs Imports            , 20.16.1555       , Rance          , Martine         
 Herkku Gifts                        , +47 2267 3215    , Oeztan         , Veysel          
 Mini Wheels Co.                     , 6505555787       , Murphy         , Julie           
 Auto Canal Petit                    , (1) 47.55.6555   , Perrier        , Dominique       
" ""Australian Collectors Co.""        ", 03 9520 4555     , Ferguson       , Peter           
 Vitachrome Inc.                     , 2125551500       , Frick          , Michael         
 Tekni Collectables Inc.             , 2015559350       , Brown          , William         
 Gift Depot Inc.                     , 2035552570       , King           , Julie           
 La Rochelle Gifts                   , 40.67.8555       , Labrune        , Janine          
 Marta's Replicas Co.                , 6175558555       , Hernandez      , Marta           
" ""Toys of Finland Co.""              ", 90-224 8555      , Karttunen      , Matti           
 Baane Mini Imports                  , 07-98 9555       , Bergulfsen     , Jonas           
 Diecast Classics Inc.               , 2155551555       , Yu             , Kyung           
 Salzburg Collectables               , 6562-9555        , Pipps          , Georg           
 Souveniers And Things Co.           , +61 2 9495 8555  , Huxley         , Adrian          
 FunGiftIdeas.com                    , 5085552555       , Benitez        , Violeta         
" ""UK Collectables Ltd.""             ", (171) 555-2282   , Devon          , Elizabeth       
 Euro Shopping Channel               , (91) 555 94 44   , Freyre         , Diego           
" ""Volvo Model Replicas Co""          ", 0921-12 3555     , Berglund       , Christina       
" ""Corrida Auto Replicas Ltd""        ", (91) 555 22 82   , Sommer         , Martï¿½n          
" ""Dragon Souveniers Ltd.""           ", +65 221 7555     , Natividad      , Eric            
 Classic Legends Inc.                , 2125558493       , Hernandez      , Maria           
" ""Australian Gift Network Co""       ", 61-7-3844-6555   , Calaghan       , Tony            
" ""Classic Gift Ideas Inc""           ", 2155554695       , Cervantes      , Francisca       
" ""Saveley & Henriot Co.""            ", 78.32.5555       , Saveley        , Mary            
 Canadian Gift Exchange Network      , (604) 555-3392   , Tannamuri      , Yoshi           
 West Coast Collectables Co.         , 3105553722       , Thompson       , Steve           
 Cambridge Collectables Co.          , 6175555555       , Tseng          , Kyung           
 Super Scale Inc.                    , 2035559545       , Murphy         , Leslie          
" ""Tokyo Collectables Ltd""           ", +81 3 3584 0555  , Shimamura      , Akiko           
 Amica Models & Co.                  , 011-4988555      , Accorti        , Paolo           
 Scandinavian Gift Ideas             , 0695-34 6555     , Larsson        , Maria           
 Auto Assoc. & Cie.                  , 30.59.8555       , Tonini         , Daniel          
 Mini Gifts Distributors Ltd.        , 4155551450       , Nelson         , Valarie         
 Online Diecast Creations Co.        , 6035558647       , Young          , Valarie         
 Collectables For Less Inc.          , 6175558555       , Nelson         , Allen           
" ""Anna's Decorations Ltd""           ", 02 9936 8555     , O'Hara         , Anna            
 Quebec Home Shopping Network        , (514) 555-8054   , Fresnisre      , Jean            
 Osaka Souveniers Co.                , +81 06 6342 5555 , Kentary        , Mory            
 Motor Mint Distributors Inc.        , 2155559857       , Hernandez      , Rosa            
 Atelier graphique                   , 40.32.2555       , Schmitt        , Carine          
 Mini Classics                       , 9145554562       , Frick          , Steve           
 Danish Wholesale Imports            , 31 12 3555       , Petersen       , Jytte           
" ""Stylish Desk Decors Co.""          ", (171) 555-0297   , Brown          , Ann             
 Mini Creations Ltd.                 , 5085559555       , Tam            , Wing C          
 Alpha Cognac                        , 61.77.6555       , Roulet         , Annette         
" ""Double Decker Gift Stores Ltd""    ", (171) 555-7555   , Hardy          , Thomas          
 Enaco Distributors                  , (93) 203 4555    , Saavedra       , Eduardo         
" ""Men 'R' US Retailers Ltd.""        ", 2155554369       , Chandler       , Michael         
 Collectable Mini Designs Co.        , 7605558146       , Thompson       , Valarie         
 Petit Auto                          , (02) 5554 67     , Dewey          , Catherine       
" ""Royal Canadian Collectables Ltd."" ", (604) 555-4555   , Lincoln        , Elizabeth       
 Gifts4AllAges.com                   , 6175559555       , Yoshido        , Juri            
 giftsbymail.co.uk                   , (198) 555-8888   , Bennett        , Helen           
" ""Oulu Toy Supplies Inc.""           ", 981-443655       , Koskitalo      , Pirkko          
 The Sharp Gifts Warehouse           , 4085553659       , Frick          , Sue             
" ""La Corne D'abondance Co.""         ", (1) 42.34.2555   , Bertrand       , Marie           
 Mini Auto Werke                     , 7675-3555        , Mendel         , Roland          
 Diecast Collectables                , 6175552555       , Franco         , Valarie         
 Handji Gifts& Co                    , +65 224 1555     , Victorino      , Wendy           
 Cruz & Sons Co.                     , +63 2 555 3587   , Cruz           , Arnold          
 Marseille Mini Autos                , 91.24.4555       , Lebihan        , Laurence        
" ""Toms Spezialitten Ltd""            ", 0221-5554327     , Pfalzheim      , Henriette       
" ""Vida Sport Ltd""                   ", 0897-034555      , Holz           , Michael         
 L'ordine Souveniers                 , 0522-556555      , Moroni         , Maurizio        
 Online Mini Collectables            , 6175557555       , Barajas        , Miguel          
" ""Blauer See Auto Co.""              ", +49 69 66 90 2555, Keitel         , Roland          
 Suominen Souveniers                 , +358 9 8045 555  , Suominen       , Kalle           
 Muscle Machine Inc                  , 2125557413       , Young          , Jeff            
" ""Clover Collections Co.""           ", +353 1862 1555   , Cassidy        , Dean            
 CAF Imports                         , +34 913 728 555  , Fernandez      , Jesus           
" ""AV Stores Co.""                    ", (171) 555-1555   , Ashworth       , Victoria        
 Heintze Collectables                , 86 21 3555       , Ibsen          , Palle           
 Microscale Inc.                     , 2125551957       , Kuo            , Kee             
 Boards & Toys Co.                   , 3105552373       , Young          , Leslie          
" ""Iberia Gift Imports Corp.""        ", (95) 555 82 82   , Roel           , Jose Pedro      
 Signal Collectibles Ltd.            , 4155554312       , Taylor         , Sue             
 Mini Caravy                         , 88.60.1555       , Citeaux        , Frederique      
 Signal Gift Stores                  , 7025551838       , King           , Sue             
" ""Norway Gifts By Mail Co.""         ", +47 2212 1555    , Klaeboe        , Jan             
 Rovelli Gifts                       , 035-640555       , Rovelli        , Giovanni        
" ""Australian Collectables Ltd""      ", 61-9-3844-6555   , Connery        , Sean            
 Gift Ideas Corp.                    , 2035554407       , Lewis          , Dan             
" ""Bavarian Collectables Imports Co.""", +49 89 61 08 9555, Donnermeyer    , Michael         
 Royale Belge                        , (071) 23 67 2555 , Cartrain       , Pascale         
 Auto-Moto Classics Inc.             , 6175558428       , Taylor         , Leslie          
